NUMERO_REGISTRAZIONE,FORMULATO COMMERCIALE,PRODUTTORE,SOSTANZE_ATTIVE,SOSTANZA ATTIVA_PER_100G_DI_PRODOTTO
1,ENOVIT,SIPCAM S.P.A.,THIOPHANATE-METHYL,-
2,CONTRAX STANGE,KEMIO,WARFARIN,-
3,QUINTAMON,DU PONT DE NEMOURS ITALIANA S.R.L.,DICLORAN,50.0 g
5,AGROXONE 96,SOLPLANT S.P.A.,MCPA,75.0 g
6,TMTD-AMONN,DU PONT DE NEMOURS ITALIANA S.R.L.,THIRAM,80.0 g
7,ZIRAM 80,DU PONT DE NEMOURS ITALIANA S.R.L.,ZIRAM,76.0 g
8,DDT 50 WP,SOLPLANT S.P.A.,DDT,-
9,ENTOX 10 POLVERE,SOLPLANT S.P.A.,ALDRIN,-
10,AGROXONE C,SOLPLANT S.P.A.,MCPA,1.0 g
11,ALGACIDE,SOLPLANT S.P.A.,COPPER CHLORIDE,82.0 g
12,ENTOX 60 POLVERE,SOLPLANT S.P.A.,ALDRIN,-
13,THIOPRON,UPL EUROPE LTD,SULPHUR (ZOLFO),57.3 g
14,MICROTHIOL,UPL EUROPE LTD,SULPHUR (ZOLFO),81.0 g
15,CORBAX,SYNGENTA ITALIA S.P.A.,ANTRACHINONE,25.0 g
16,PATORAN,BASF A.G. (AKTIENGESELLSHAFT),METOBROMURON,50.0 g
17,U 46 COMBI FLUID,NUFARM B.V.,"MCPA|2,4-D",25.0 g|29.0 g
18,CITOWETT,BASF A.G. (AKTIENGESELLSHAFT),-,-
19,BAGNANTE SOLPLANT,SOLPLANT S.P.A.,-,-
20,BASF-D ESTER 50,BASF A.G. (AKTIENGESELLSHAFT),"2,4-D",46.0 g
21,PERTHANE EC,DU PONT DE NEMOURS ITALIANA S.R.L.,PERTANE,45.0 g
22,U 46 DP-FLUID,BASF A.G. (AKTIENGESELLSHAFT),DICHLORPROP,54.0 g
23,AGROXONE 3,SYNGENTA ITALIA S.P.A.,MCPA,25.0 g
24,ACARTHANE WP,DU PONT DE NEMOURS ITALIANA S.R.L.,DICOFOL|DINOCAP,18.0 g|9.0 g
25,ALSAN G 4%,DU PONT DE NEMOURS ITALIANA S.R.L.,ALDRIN,-
26,U 46 M-FLUID,NUFARM B.V.,MCPA,44.3 g
27,ARSENE,DU PONT DE NEMOURS ITALIANA S.R.L.,ARSENIC ANHYDRIDE (ANIDRIDE ARSENICA),-
28,AZAMON,DU PONT DE NEMOURS ITALIANA S.R.L.,DIAZINON,20.0 g
29,DITHANE BLEU,DU PONT DE NEMOURS ITALIANA S.R.L.,ZINEB,-
30,FUMATHANE S,DU PONT DE NEMOURS ITALIANA S.R.L.,METAM SODIUM,-
31,KARATHANE 1%,DU PONT DE NEMOURS ITALIANA S.R.L.,DINOCAP,-
32,PERBOTRIN,DU PONT DE NEMOURS ITALIANA S.R.L.,FOLPET|MANCOZEB,-
33,GA-SOL,DU PONT DE NEMOURS ITALIANA S.R.L.,METAM SODIUM,-
34,ROTHANE WP 50,DU PONT DE NEMOURS ITALIANA S.R.L.,DDD,-
35,TURCAN,DU PONT DE NEMOURS ITALIANA S.R.L.,ATRAZINE,-
36,ANTIDORIFORA TL,ITAL-AGRO S.R.L.,CARBARIL|ENDOSULFAN|LINDANE (LINDANO),-
38,POLVERE TABACINA,SCAM S.P.A.,ZINEB,-
39,CLOROPIN,DU PONT DE NEMOURS ITALIANA S.R.L.,DALAPON,85.0 g
40,ETRAVON SYNGENTA,SYNGENTA ITALIA S.P.A.,SORBITAN MONOLEATO,12.0 g
41,AGROXONE LIQUIDO,SOLPLANT S.P.A.,MCPA,10.0 g
46,ACARTHANE WP,SIPCAM S.P.A.,DICOFOL|DINOCAP,18.0 g|7.0 g
47,AS PG,SIPCAM S.P.A.,CARBARIL,5.0 g
50,BROMCID,SIPCAM S.P.A.,NALED,-
51,CARIEFIT NT,SIPCAM S.P.A.,HEXACHLOROBENZENE,-
52,DIAZITHION,SIPCAM S.P.A.,DIAZINON,20.0 g
53,DILEDIT,SIPCAM S.P.A.,DDD,-
54,DILENE NT,SIPCAM S.P.A.,LINDANE (LINDANO)|DDT,-
55,FRUTTENE AZZURRO,SIPCAM S.P.A.,ZIRAM,76.0 g
56,OSSIRAME LV,SIPCAM S.P.A.,COPPER OXYCHLORIDE,26.0 g
59,MASTRO 50% EC,CHEMINOVA A/S,MALATHION,50.0 g
60,FERNOXONE P,SOLPLANT S.P.A.,DICHLORPROP,-
62,METILPARATHIONE 20,DU PONT DE NEMOURS ITALIANA S.R.L.,PARATHION-METHYL,-
63,SELEXONE,SOLPLANT S.P.A.,MCPB,-
64,AGROXONE 5,SYNGENTA ITALIA S.P.A.,"2,4-D",32.5 g
65,GUICIDAN,SIPCAM S.P.A.,"1,3-DICHLOROPROPENE",92.0 g
66,AGHERUD PP,DU PONT DE NEMOURS ITALIANA S.R.L.,MECOPROP,51.0 g
67,AGHERUD GIALLO,DU PONT DE NEMOURS ITALIANA S.R.L.,DNOC,-
68,FUMITER,SIPCAM S.P.A.,"1,2-DIBROMOETHANE (ETHYLENE DIBROMIDE)",-
69,BAGNANTE AG,SIPCAM S.P.A.,-,-
70,U 46 KV-PULVER,BASF A.G. (AKTIENGESELLSHAFT),MECOPROP,77.0 g
72,TERAN,SIPCAM S.P.A.,METAM SODIUM,380.0 g/l
73,OLIVAR,DOW AGROSCIENCES ITALIA S.R.L.,ENDOTHION,-
74,PASTA RUMIANCA AZZURRA,ISAGRO S.P.A.,COPPER OXYCHLORIDE,-
76,ACARTHANE EC,DOW AGROSCIENCES ITALIA S.R.L.,DICOFOL|DINOCAP,-
77,ACARTHANE WP,DOW AGROSCIENCES ITALIA S.R.L.,DICOFOL|DINOCAP,-
78,ACHARVIR,DOW AGROSCIENCES ITALIA S.R.L.,DICOFOL|DINOCAP,-
79,ANGUITOX,DOW AGROSCIENCES ITALIA S.R.L.,"1,2-DIBROMOETHANE (ETHYLENE DIBROMIDE)",-
80,AIRONE,ISAGRO S.P.A.,PROPINEB,70.0 g
81,ACARTHANE FORTE,DOW AGROSCIENCES ITALIA S.R.L.,DICOFOL|DINOCAP,-
83,BIGATOX,DOW AGROSCIENCES ITALIA S.R.L.,TRICHLORFON,-
84,CAPTOL 10 PS,DOW AGROSCIENCES ITALIA S.R.L.,CAPTAN,-
85,CEMIOSTAR,DOW AGROSCIENCES ITALIA S.R.L.,DICHLORVOS,-
86,DITHANE BLEU,DOW AGROSCIENCES ITALIA S.R.L.,ZINEB,-
87,DITHANE Z 78 POLVERE 8%,DOW AGROSCIENCES ITALIA S.R.L.,ZINEB,-
88,DITHANE Z 78,DOW AGROSCIENCES ITALIA S.R.L.,ZINEB,-
89,DITHANE M-22,DOW AGROSCIENCES ITALIA S.R.L.,MANEB,-
