nome,tipologia
Alghe,Alghe - varie spp.
Arboree-arbustive (diverse specie),Acacia
Arboree-arbustive (diverse specie),Ailanto
Arboree-arbustive (diverse specie),Arboree-arbustive (diverse specie)
Arboree-arbustive (diverse specie),Eucalipto
Arboree-arbustive (diverse specie),Gelso
Ciperacee,Carice
Ciperacee,Cipero
Cucurbitacee,Cocomero
Cucurbitacee,Sicio
Dicotiledoni annuali,Abutilon
Dicotiledoni annuali,Acalifa
Dicotiledoni annuali,Achillea
Dicotiledoni annuali,Adonis
Dicotiledoni annuali,Agrostemma
Dicotiledoni annuali,Ajuga
Dicotiledoni annuali,Alchechengi
Dicotiledoni annuali,Alchemilla
Dicotiledoni annuali,Alectorofo
Dicotiledoni annuali,Altea
Dicotiledoni annuali,Amaranto
Dicotiledoni annuali,Ambrosia
Dicotiledoni annuali,Ammi
Dicotiledoni annuali,Anacyclus
Dicotiledoni annuali,Anagallide
Dicotiledoni annuali,Androsace
Dicotiledoni annuali,Aneto
Dicotiledoni annuali,Antemide
Dicotiledoni annuali,Antirrio
Dicotiledoni annuali,Arabidopsis
Dicotiledoni annuali,Arenaria
Dicotiledoni annuali,Asperula
Dicotiledoni annuali,Atenusa
Dicotiledoni annuali,Atriplex
Dicotiledoni annuali,Bifora
Dicotiledoni annuali,Biscutella
Dicotiledoni annuali,Borragine
Dicotiledoni annuali,Brassica
Dicotiledoni annuali,Bupleurum
Dicotiledoni annuali,Calendula
Dicotiledoni annuali,Calepina
Dicotiledoni annuali,Camelina
Dicotiledoni annuali,Cardamine
Dicotiledoni annuali,Cardo
Dicotiledoni annuali,Caucalis
Dicotiledoni annuali,Centaurea
Dicotiledoni annuali,Centocchio - Stellaria (annuali)
Dicotiledoni annuali,Centuncolo
Dicotiledoni annuali,Cespica
Dicotiledoni annuali,Cetino
Dicotiledoni annuali,Chenorrino
Dicotiledoni annuali,Cicuta
Dicotiledoni annuali,Collomia
Dicotiledoni annuali,Conringia
Dicotiledoni annuali,Coriandolo
Dicotiledoni annuali,Coridalia
Dicotiledoni annuali,Cornacchina
Dicotiledoni annuali,Crisantemo
Dicotiledoni annuali,Cuscuta
Dicotiledoni annuali,Datura
Dicotiledoni annuali,Delfinio
Dicotiledoni annuali,Delia
Dicotiledoni annuali,Descurania
Dicotiledoni annuali,Elmintia
Dicotiledoni annuali,Erba lombrica
Dicotiledoni annuali,Erodio
Dicotiledoni annuali,Erofila
Dicotiledoni annuali,Ersimo
Dicotiledoni annuali,Euforbia
Dicotiledoni annuali,Eufrasia
Dicotiledoni annuali,Eulocastro
Dicotiledoni annuali,Farinello
Dicotiledoni annuali,Fedia o Valeriana
Dicotiledoni annuali,Filago
Dicotiledoni annuali,Finocchio
Dicotiledoni annuali,Forbicine
Dicotiledoni annuali,Fumaria
Dicotiledoni annuali,Galeopsis
Dicotiledoni annuali,Galinsoga
Dicotiledoni annuali,Galium
Dicotiledoni annuali,Gallinella
Dicotiledoni annuali,Geranio
Dicotiledoni annuali,Gipsofila
Dicotiledoni annuali,Girasole
Dicotiledoni annuali,Gnafalio
Dicotiledoni annuali,Grespini (annuali)
Dicotiledoni annuali,Hipocoeris
Dicotiledoni annuali,Hyoscyamus
Dicotiledoni annuali,Iberis
Dicotiledoni annuali,Ibisco
Dicotiledoni annuali,Kicsia
Dicotiledoni annuali,Kokia
Dicotiledoni annuali,Lamio
Dicotiledoni annuali,Lapsana
Dicotiledoni annuali,Latiro
Dicotiledoni annuali,Legusia
Dicotiledoni annuali,Leontodo
Dicotiledoni annuali,Lepidio
Dicotiledoni annuali,Licopsis
Dicotiledoni annuali,Limnofila
Dicotiledoni annuali,Linaria
Dicotiledoni annuali,Litospermo
Dicotiledoni annuali,Malve (annuali)
Dicotiledoni annuali,Matricaria
Dicotiledoni annuali,Medica
Dicotiledoni annuali,Melapiro
Dicotiledoni annuali,Mercuriale
Dicotiledoni annuali,Miagro
Dicotiledoni annuali,Minuartia
Dicotiledoni annuali,Miosorus
Dicotiledoni annuali,Mollugo
Dicotiledoni annuali,Nappola
Dicotiledoni annuali,Neslia
Dicotiledoni annuali,Nigella
Dicotiledoni annuali,Orlaya
Dicotiledoni annuali,Ortica
Dicotiledoni annuali,Papavero
Dicotiledoni annuali,Pastinaca
Dicotiledoni annuali,Poligono
Dicotiledoni annuali,Portulaca
Dicotiledoni annuali,Prunella
Dicotiledoni annuali,Radichiella
Dicotiledoni annuali,Rafano
Dicotiledoni annuali,Ranuncoli (annuali)
Dicotiledoni annuali,Rapistro
Dicotiledoni annuali,Rinanto
Dicotiledoni annuali,Ruchette
Dicotiledoni annuali,Saeppola
Dicotiledoni annuali,Saggina
Dicotiledoni annuali,Scandice
Dicotiledoni annuali,Sclerantio
Dicotiledoni annuali,Senape
Dicotiledoni annuali,Senecio
Dicotiledoni annuali,Serardia
Dicotiledoni annuali,Silene
Dicotiledoni annuali,Silybum
Dicotiledoni annuali,Sisimbrio
Dicotiledoni annuali,Solanum
Dicotiledoni annuali,Spergola
Dicotiledoni annuali,Spergolaria
Dicotiledoni annuali,Stachis
Dicotiledoni annuali,Tesdalia
Dicotiledoni annuali,Tlapsi
Dicotiledoni annuali,Torilis
Dicotiledoni annuali,Trifoglio
Dicotiledoni annuali,Tripleurospermo
Dicotiledoni annuali,Vandellia
Dicotiledoni annuali,Veccia
Dicotiledoni annuali,Ventaglina
Dicotiledoni annuali,Veronica
Dicotiledoni annuali,Viola
Dicotiledoni poliennali,Acanthospermum
Dicotiledoni poliennali,Acetosella
Dicotiledoni poliennali,Agopodio
Dicotiledoni poliennali,Ancusa
Dicotiledoni poliennali,Aristolochia
Dicotiledoni poliennali,Assenzio
Dicotiledoni poliennali,Barbarea
Dicotiledoni poliennali,Buddleja
Dicotiledoni poliennali,Bunias
Dicotiledoni poliennali,Campanula
Dicotiledoni poliennali,Capsella
Dicotiledoni poliennali,Cardaria
Dicotiledoni poliennali,Centocchio - Stellaria (poliennali)
Dicotiledoni poliennali,Chelidonia
Dicotiledoni poliennali,Cicoria
Dicotiledoni poliennali,Coronilla
Dicotiledoni poliennali,Crepis
Dicotiledoni poliennali,Cytisus
Dicotiledoni poliennali,Echium
Dicotiledoni poliennali,Eliotropio
Dicotiledoni poliennali,Erba perla
Dicotiledoni poliennali,Erigeron
Dicotiledoni poliennali,Ferula
Dicotiledoni poliennali,Garofanino
Dicotiledoni poliennali,Ginestrino
Dicotiledoni poliennali,Glecoma
Dicotiledoni poliennali,Grespini (poliennali)
Dicotiledoni poliennali,Hiperico
Dicotiledoni poliennali,Knautia
Dicotiledoni poliennali,Lattuga
Dicotiledoni poliennali,Lattugaccio
Dicotiledoni poliennali,Lythrium
Dicotiledoni poliennali,Malve (poliennali)
Dicotiledoni poliennali,Melandrio
Dicotiledoni poliennali,Meliloto
Dicotiledoni poliennali,Menta
Dicotiledoni poliennali,Miosotide
Dicotiledoni poliennali,Panace
Dicotiledoni poliennali,Peverine
Dicotiledoni poliennali,Piantaggine
Dicotiledoni poliennali,Potentilla
Dicotiledoni poliennali,Pratolina
Dicotiledoni poliennali,Ranuncoli (poliennali)
Dicotiledoni poliennali,Reseda
Dicotiledoni poliennali,Romice
Dicotiledoni poliennali,Salsola
Dicotiledoni poliennali,Stoppione
Dicotiledoni poliennali,Tarassacco
Dicotiledoni poliennali,Tussilago
Dicotiledoni poliennali,Verbena
Dicotiledoni poliennali,Vilucchio
Equiseti,
Equiseti,Equiseto
Equiseti,Scirpo
Felci,
Felci,Marsileacee
Felci,Pteris
Fitolaccacee,Fitolacca
Giuncacee,Giunco (Juncus spp.)
Graminacee annuali,Alopecoro (annuali)
Graminacee annuali,Ammania
Graminacee annuali,Apera
Graminacee annuali,Arrenatero
Graminacee annuali,Avena
Graminacee annuali,Brachiaria
Graminacee annuali,Bromus (annuali)
Graminacee annuali,Cencro
Graminacee annuali,Cinosurus
Graminacee annuali,Digitaria
Graminacee annuali,Echinocloa o giavone
Graminacee annuali,Eleusine
Graminacee annuali,Eragrostide
Graminacee annuali,Fagopiro
Graminacee annuali,Falaride
Graminacee annuali,Fienarola (annuali)
Graminacee annuali,Frumento
Graminacee annuali,Hordeum
Graminacee annuali,Iscaemum
Graminacee annuali,Leptocloa
Graminacee annuali,Loglio (annuali)
Graminacee annuali,Oriza
Graminacee annuali,Panico
Graminacee annuali,Pennisetum
Graminacee annuali,Rotbellia
Graminacee annuali,Setaria
Graminacee poliennali,Agrostide
Graminacee poliennali,Alopecoro (poliennali)
Graminacee poliennali,Antossanto
Graminacee poliennali,Assonopo
Graminacee poliennali,Brachipodio
Graminacee poliennali,Bromus (poliennali)
Graminacee poliennali,Cannuccia
Graminacee poliennali,Colchico
Graminacee poliennali,Dactilis
Graminacee poliennali,Falasco
Graminacee poliennali,Festuca
Graminacee poliennali,Fienarola (poliennali)
Graminacee poliennali,Fleum
Graminacee poliennali,Gramigna (Agropyron spp.)
Graminacee poliennali,Gramigna (Cynodon spp.)
Graminacee poliennali,Gramigna d'acqua
Graminacee poliennali,Holco
Graminacee poliennali,Loglio (poliennali)
Graminacee poliennali,Mibora
Graminacee poliennali,Sorgo
Infestanti acquatiche,Alisma
Infestanti acquatiche,Amsinckia
Infestanti acquatiche,Arundo
Infestanti acquatiche,Brasca
Infestanti acquatiche,Eliocaris
Infestanti acquatiche,Elodea
Infestanti acquatiche,Eterantera
Infestanti acquatiche,Giunco (Butomus spp.)
Infestanti acquatiche,Gliceria
Infestanti acquatiche,Idrocaris
Infestanti acquatiche,Lemna
Infestanti acquatiche,Lersia
Infestanti acquatiche,Najas
Infestanti acquatiche,Peplis
Infestanti acquatiche,Rorippa
Infestanti acquatiche,Sagittaria
Infestanti acquatiche,Scabiosa
Infestanti acquatiche,Sparganio
Infestanti acquatiche,Tifa
Infestanti acquatiche,Zannichellia
Iridacee,Gladiolo
Liliacee,Aglio
Liliacee,Asfodelo
Liliacee,Murdannia
Liliacee,Muscari
Orobanche,Succiamele
