"Date & Time","Temp - C","Hum - %","Wind Speed - km/h","Wind Direction","Barometer - hPa","Rain - mm","Rain Rate - mm","Solar Rad - W/m^2","ET - mm"
"1/1/19 00:00","7.7","45.0","16.1","NNW","990.9","0.0","0.0","0","0.10"
"1/1/19 01:00","7.1","50.0","14.5","NNW","990.3","0.0","0.0","0","0.08"
"1/1/19 02:00","7.5","46.0","17.7","NNW","991.5","0.0","0.0","0","0.10"
"1/1/19 03:00","7.4","46.0","14.5","NNW","990.8","0.0","0.0","0","0.08"
"1/1/19 04:00","7.4","49.0","14.5","NNW","991.0","0.0","0.0","0","0.08"
"1/1/19 05:00","7.4","48.0","12.9","NNW","990.6","0.0","0.0","0","0.08"
"1/1/19 06:00","7.4","48.0","14.5","NNW","991.2","0.0","0.0","0","0.08"
"1/1/19 07:00","7.7","44.0","14.5","NNW","991.5","0.0","0.0","0","0.08"
"1/1/19 08:00","7.4","44.0","12.9","NNW","990.9","0.0","0.0","3","0.08"
"1/1/19 09:00","8.1","39.0","11.3","NW","993.1","0.0","0.0","39","0.08"
"1/1/19 10:00","8.8","37.0","12.9","NNW","991.1","0.0","0.0","196","0.18"
"1/1/19 11:00","9.7","34.0","17.7","NW","990.5","0.0","0.0","294","0.25"
"1/1/19 12:00","10.5","30.0","17.7","NNW","989.5","0.0","0.0","345","0.28"
"1/1/19 13:00","11.1","30.0","16.1","NNW","988.7","0.0","0.0","348","0.28"
"1/1/19 14:00","12.5","28.0","14.5","N","987.9","0.0","0.0","302","0.25"
"1/1/19 15:00","12.5","25.0","8.0","N","987.6","0.0","0.0","206","0.18"
"1/1/19 16:00","10.1","36.0","9.7","NW","982.2","0.0","0.0","86","0.13"
"1/1/19 17:00","8.2","42.0","6.4","S","977.5","0.0","0.0","19","0.05"
"1/1/19 18:00","5.6","50.0","3.2","ESE","975.6","0.0","0.0","0","0.03"
"1/1/19 19:00","4.6","50.0","4.8","E","977.4","0.0","0.0","0","0.05"
"1/1/19 20:00","3.9","53.0","4.8","ESE","979.2","0.0","0.0","0","0.05"
"1/1/19 21:00","3.7","53.0","4.8","ESE","981.8","0.0","0.0","0","0.05"
"1/1/19 22:00","3.3","54.0","4.8","ESE","981.7","0.0","0.0","0","0.05"
"1/1/19 23:00","3.3","54.0","4.8","ESE","983.0","0.0","0.0","0","0.03"
"2/1/19 00:00","3.5","56.0","3.2","SE","983.9","0.0","0.0","0","0.03"
"2/1/19 01:00","3.4","60.0","3.2","E","984.1","0.0","0.0","0","0.03"
"2/1/19 02:00","4.4","61.0","3.2","SSE","988.0","0.0","0.0","0","0.03"
"2/1/19 03:00","4.7","61.0","4.8","S","988.0","0.0","0.0","0","0.03"
"2/1/19 04:00","6.1","59.0","4.8","SE","987.4","0.0","0.0","0","0.03"
"2/1/19 05:00","6.4","62.0","1.6","SE","985.2","0.0","0.0","0","0.03"
"2/1/19 06:00","6.1","65.0","1.6","ESE","982.9","0.0","0.0","0","0.03"
"2/1/19 07:00","6.8","63.0","1.6","S","982.7","0.0","0.0","0","0.03"
"2/1/19 08:00","6.2","65.0","1.6","ENE","981.2","0.0","0.0","1","0.00"
"2/1/19 09:00","5.2","64.0","3.2","NE","979.7","0.0","0.0","18","0.03"
"2/1/19 10:00","4.4","66.0","1.6","WNW","982.5","0.0","0.0","99","0.05"
